SUSP_AGE_45-64,VIC_SEX_F,SEASON_Summer,VIC_RACE_WHITE,VIC_RACE_ASIAN / PACIFIC ISLANDER,TIME_PERIOD_Early morning,SEASON_Spring,VIC_RACE_BLACK,TIME_PERIOD_Night,VIC_AGE_65+,SUSP_AGE_65+,SUSP_RACE_BLACK,VIC_AGE_25-44,PREM_TYP_DESC_FREQ,DURATION_STATE
False,True,1,False,False,0,0,True,0,False,False,True,False,0.16417596295516734,1
False,False,0,False,False,1,0,False,0,False,False,False,False,0.0010524100189433804,5
False,False,1,False,True,1,0,False,0,True,False,False,False,0.029677962534203326,4
False,True,0,False,True,0,1,False,0,False,False,False,False,0.350873500315723,4
False,False,0,False,False,0,0,True,0,False,False,True,True,0.01178699221216586,1
False,False,1,False,True,0,0,False,1,False,False,False,False,0.15091559671648075,3
False,True,1,False,True,0,0,False,0,False,False,False,False,0.16417596295516734,1
False,True,1,True,False,0,0,False,1,False,False,False,True,0.350873500315723,1
False,False,0,False,False,0,0,False,1,False,False,False,True,0.350873500315723,1
False,False,1,False,False,0,0,False,0,False,False,False,True,0.16417596295516734,4
False,True,0,False,False,0,1,False,1,False,False,False,True,0.350873500315723,1
False,False,0,False,False,0,1,False,0,False,False,False,False,0.15091559671648075,2
False,False,0,True,False,0,0,False,0,False,False,False,False,0.350873500315723,5
False,True,1,False,False,1,0,False,0,True,False,True,False,0.0545148389812671,3
False,False,1,False,False,0,0,False,1,False,False,False,False,0.16417596295516734,1
False,True,0,False,True,0,0,False,0,False,False,False,False,0.350873500315723,5
False,False,0,False,False,0,1,False,0,False,False,False,False,0.02252157440538834,4
False,False,1,False,False,0,0,False,1,False,False,True,False,0.350873500315723,1
False,True,0,False,False,1,0,False,0,False,False,False,True,0.350873500315723,2
False,False,1,False,False,1,0,False,0,False,False,False,True,0.16417596295516734,3
False,True,0,False,False,0,0,True,0,False,False,False,True,0.15091559671648075,5
False,False,1,False,False,0,0,False,1,False,False,False,False,0.007366870132603663,5
False,False,1,True,False,0,0,False,0,False,False,False,True,0.017470006314460114,1
False,False,1,True,False,1,0,False,0,False,False,False,True,0.15091559671648075,1
False,True,1,False,False,0,0,False,1,False,False,False,True,0.15091559671648075,1
False,False,0,False,False,0,1,False,0,False,False,False,False,0.03641338665544096,1
False,True,0,False,True,1,1,False,0,False,False,False,True,0.350873500315723,4
False,True,1,False,False,0,0,True,1,False,False,False,False,0.350873500315723,3
False,True,1,False,False,0,0,True,0,False,False,False,False,0.009261208166701748,4
False,False,1,False,False,0,0,False,0,False,False,False,False,0.0545148389812671,2
False,False,1,True,False,0,0,False,0,True,False,False,False,0.350873500315723,4
False,False,1,False,True,1,0,False,0,True,False,False,False,0.006103978109871606,4
False,False,1,True,False,0,0,False,0,True,False,False,False,0.16417596295516734,1
False,False,0,False,False,0,1,False,0,False,False,False,False,0.03641338665544096,1
False,False,0,True,False,0,1,False,1,False,False,False,True,0.350873500315723,4
False,False,0,True,False,0,1,False,0,False,False,False,False,0.15091559671648075,1
False,False,1,False,False,1,0,False,0,False,False,False,True,0.15091559671648075,1
False,False,1,False,False,1,0,False,0,False,False,False,False,0.15091559671648075,1
False,False,0,False,False,0,1,True,0,False,False,False,True,0.16417596295516734,1
False,True,0,False,False,0,1,True,1,False,False,False,False,0.0545148389812671,1
False,True,1,False,True,0,0,False,0,False,False,False,True,0.350873500315723,1
False,True,1,False,False,0,0,False,1,False,False,False,False,0.16417596295516734,1
False,False,0,False,False,0,0,False,0,False,False,False,False,0.16417596295516734,5
False,True,1,False,False,0,0,False,0,False,False,False,False,0.350873500315723,1
False,True,0,False,True,0,1,False,1,False,False,False,True,0.350873500315723,1
False,False,1,False,False,0,0,False,0,False,False,False,True,0.350873500315723,3
False,True,0,False,False,1,0,True,0,True,False,False,False,0.350873500315723,5
False,True,1,False,False,0,0,False,0,False,False,False,True,0.350873500315723,1
False,False,1,False,False,0,0,True,0,False,False,False,True,0.003578194064407493,5
False,True,1,False,False,0,0,True,0,False,False,False,True,0.350873500315723,1
False,True,0,False,False,1,0,False,0,False,False,False,False,0.350873500315723,3
False,False,1,False,False,0,0,False,0,False,False,False,False,0.350873500315723,0
False,True,0,True,False,0,0,False,0,True,False,True,False,0.350873500315723,4
False,True,0,False,True,0,1,False,0,False,False,False,True,0.16417596295516734,4
